Active Status,Item,Description,Price,Cost,Manufacturer
Active,APRILAIRE:8051,Flush-Mount Temperature Sensor,31.25,15.63,APRILAIRE
Active,APRILAIRE:8052,Outdoor Temperature Sensor,10.35,5.18,APRILAIRE
Active,APRILAIRE:8081,Temperature Support Module,148.05,74.03,APRILAIRE
Active,APRILAIRE:8083,Flush-Mount Temperature & Humidity Sensor,208,104,APRILAIRE
Active,APRILAIRE:8811,"Protocol Adapter, RS232 to RS485",207.2,103.6,APRILAIRE
Active,APRILAIRE:8819,Distribution Panel,218,109,APRILAIRE
Active,APRILAIRE:8820,Touch Screen Wi-Fi Automation Thermostat,397.8,198.9,APRILAIRE
Active,ARAKNIS,,0,0,ARAKNIS
Active,ARAKNIS:AN-100-SW-F-16,Araknis Networks 100 Series 16-port Unmanaged Gigabit Switch with Front Ports,149.95,129.95,ARAKNIS
Active,ARAKNIS:AN-110-RT-2L1W,Araknis Networks 110 Series Single-WAN Gigabit VPN Router,239.95,119.95,ARAKNIS
Active,ARAKNIS:AN-110-SW-C-16P,Araknis Networks 110 Series Unmanaged+ Gigabit Compact Switch,339.95,170.17,ARAKNIS
Active,ARAKNIS:AN-110-SW-C-5,Araknis Networks 100 Series 5 Port Compact Unmanaged Gigabit Switch,79.95,40.06,ARAKNIS
Active,ARAKNIS:AN-110-SW-C-5P,110 Series Compact Unmanaged Gigabit Switch,139.95,71.95,ARAKNIS
Active,ARAKNIS:AN-110-SW-F-16,Araknis Networks 110 Series Unmanaged+ Gigabit Switch with Front Ports,259.95,130.06,ARAKNIS
Active,ARAKNIS:AN-110-SW-F-8,Araknis Networks 110 Series 8 Port Unmanaged+ Gigabit Switch with Front Ports,119.95,59.63,ARAKNIS
Active,ARAKNIS:AN-110-SW-R-16,Araknis Networks 110 Series 16 Port Unmanaged Gigabit Switch with Rear Ports,259.95,132.95,ARAKNIS
Active,ARAKNIS:AN-110-SW-R-24,Araknis Networks 110 Series 24 Port Unmanaged Gigabit Switch with Rear Ports,359.95,179.96,ARAKNIS
Active,ARAKNIS:AN-110-SW-R-8,Araknis Networks 110 Series 8 Port Unmanaged+ Gigabit Switch with Rear Ports,119.95,59.63,ARAKNIS
Active,ARAKNIS:AN-210-SW-F-24-POE,Araknis Networks 210 Series Websmart Gigabit Switch with Partial PoE+ and Front Ports,799.95,409.95,ARAKNIS
Active,ARAKNIS:AN-210-SW-F-48-POE,Araknis Networks 210 Series 48 Port Websmart Gigabit Switch with Partial PoE+ and Front Ports,1199.95,651.47,ARAKNIS
Active,ARAKNIS:AN-210-SW-R-16-POE,Araknis Networks 210 Series 16 Port Websmart Gigabit Switch with Partial PoE+ and Rear Ports,599.95,306.95,ARAKNIS
Active,ARAKNIS:AN-210-SW-R-24-POE,Araknis Networks 210 Series 24 Port Websmart Gigabit Switch with Partial PoE+ and Rear Ports,799.95,401.04,ARAKNIS
Active,ARAKNIS:AN-210-SW-R-8-POE,Araknis Networks 210 Series 8 Port Websmart Gigabit Switch with Partial PoE+ and Rear Ports,359.95,179.96,ARAKNIS
Active,ARAKNIS:AN-300-AP-I-N,Araknis Networks 300 Series Indoor Wireless Access Point,299.95,150.61,ARAKNIS
